Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
New South Wales,Byron Shire Council,2018-19,"$1,537,814","$3,121,756",,,
New South Wales,Byron Shire Council,2019-20,"$1,642,588","$3,250,245",,,
New South Wales,Byron Shire Council,2020-21,"$1,704,286","$3,305,962",,,
New South Wales,Byron Shire Council,2021-22,"$1,715,625","$3,528,978",,,
New South Wales,Byron Shire Council,2022-23,"$2,789,011","$3,822,705",,,
New South Wales,Byron Shire Council,2023-24,"$4,088,672","$4,266,131",,,
New South Wales,Cabonne Shire Council,2017-18,"$2,299,507","$4,646,727",,,
New South Wales,Cabonne Shire Council,2018-19,"$2,411,118","$4,890,053",,,
New South Wales,Cabonne Shire Council,2019-20,"$2,570,822","$5,061,244",,,
New South Wales,Cabonne Shire Council,2020-21,"$2,640,428","$5,117,402",,,
New South Wales,Cabonne Shire Council,2021-22,"$2,653,543","$5,438,770",,,
New South Wales,Cabonne Shire Council,2022-23,"$4,284,561","$5,887,037",,,
New South Wales,Cabonne Shire Council,2023-24,"$6,296,711","$6,638,276",,,
New South Wales,Campbelltown City Council,2017-18,"$4,917,671","$9,935,035",,,
New South Wales,Campbelltown City Council,2018-19,"$5,156,391","$10,034,838",,,
New South Wales,Campbelltown City Council,2019-20,"$5,058,232","$10,008,897",,,
New South Wales,Campbelltown City Council,2020-21,"$5,245,513","$10,066,362",,,
New South Wales,Campbelltown City Council,2021-22,"$5,160,225","$10,467,011",,,
New South Wales,Campbelltown City Council,2022-23,"$8,155,372","$10,854,522",,,
New South Wales,Campbelltown City Council,2023-24,"$11,596,744","$11,814,144",,,
New South Wales,Canterbury-Bankstown Council,2017-18,"$5,794,342","$10,822,563",,,
New South Wales,Canterbury-Bankstown Council,2018-19,"$5,617,549","$10,940,536",,,
New South Wales,Canterbury-Bankstown Council,2019-20,"$5,519,493","$10,873,106",,,
New South Wales,Canterbury-Bankstown Council,2020-21,"$5,673,428","$10,925,345",,,
New South Wales,Canterbury-Bankstown Council,2021-22,"$5,623,007","$11,346,295",,,
New South Wales,Canterbury-Bankstown Council,2022-23,"$8,797,865","$11,824,183",,,
New South Wales,Canterbury-Bankstown Council,2023-24,"$12,634,708","$13,084,107",,,
New South Wales,Carrathool Shire Council,2017-18,"$2,755,183","$5,570,130",,,
New South Wales,Carrathool Shire Council,2018-19,"$2,890,333","$5,828,547",,,
New South Wales,Carrathool Shire Council,2019-20,"$3,047,074","$6,111,920",,,
New South Wales,Carrathool Shire Council,2020-21,"$3,249,113","$6,317,782",,,
New South Wales,Carrathool Shire Council,2021-22,"$3,287,003","$6,784,551",,,
New South Wales,Carrathool Shire Council,2022-23,"$5,379,335","$7,362,083",,,
New South Wales,Carrathool Shire Council,2023-24,"$7,874,497","$8,364,785",,,
New South Wales,Central Coast Council (NSW),2017-18,"$12,473,852","$25,171,609",,,
New South Wales,Central Coast Council (NSW),2018-19,"$13,064,328","$25,685,799",,,
New South Wales,Central Coast Council (NSW),2019-20,"$13,086,515","$25,996,251",,,
New South Wales,Central Coast Council (NSW),2020-21,"$13,677,956","$26,102,705",,,
New South Wales,Central Coast Council (NSW),2021-22,"$13,298,934","$27,145,036",,,
New South Wales,Central Coast Council (NSW),2022-23,"$21,276,590","$28,516,219",,,
New South Wales,Central Coast Council (NSW),2023-24,"$30,474,138","$31,690,602",,,
New South Wales,Central Darling Shire Council,2017-18,"$2,555,120","$5,166,372",,,
New South Wales,Central Darling Shire Council,2018-19,"$2,681,079","$5,417,383",,,
New South Wales,Central Darling Shire Council,2019-20,"$2,837,418","$5,750,152",,,
New South Wales,Central Darling Shire Council,2020-21,"$3,086,967","$6,001,896",,,
New South Wales,Central Darling Shire Council,2021-22,"$3,121,123","$6,498,100",,,
New South Wales,Central Darling Shire Council,2022-23,"$5,191,310","$7,098,598",,,
New South Wales,Central Darling Shire Council,2023-24,"$7,592,805","$8,145,373",,,
New South Wales,Cessnock City Council,2017-18,"$3,481,852","$7,020,267",,,
New South Wales,Cessnock City Council,2018-19,"$3,643,382","$7,196,828",,,
New South Wales,Cessnock City Council,2019-20,"$3,684,592","$7,332,944",,,
New South Wales,Cessnock City Council,2020-21,"$3,866,203","$7,371,476",,,
New South Wales,Cessnock City Council,2021-22,"$3,752,798","$7,730,573",,,
New South Wales,Cessnock City Council,2022-23,"$6,114,730","$8,155,223",,,
New South Wales,Cessnock City Council,2023-24,"$8,716,714","$9,162,487",,,
New South Wales,City of Canada Bay Council,2017-18,"$1,223,646","$2,451,301",,,
New South Wales,City of Canada Bay Council,2018-19,"$1,272,174","$2,589,068",,,
New South Wales,City of Canada Bay Council,2019-20,"$1,365,503","$2,643,633",,,
New South Wales,City of Canada Bay Council,2020-21,"$1,354,477","$2,669,851",,,
New South Wales,City of Canada Bay Council,2021-22,"$1,408,284","$2,797,613",,,
New South Wales,City of Canada Bay Council,2022-23,"$2,135,617","$2,955,288",,,
New South Wales,City of Canada Bay Council,2023-24,"$3,158,737","$3,185,611",,,
New South Wales,City of Lithgow Council,2017-18,"$2,273,888","$4,465,408",,,
New South Wales,City of Lithgow Council,2018-19,"$2,317,501","$4,700,101",,,
New South Wales,City of Lithgow Council,2019-20,"$2,470,591","$4,863,621",,,
New South Wales,City of Lithgow Council,2020-21,"$2,536,103","$4,902,499",,,
New South Wales,City of Lithgow Council,2021-22,"$2,533,738","$5,199,986",,,
New South Wales,City of Lithgow Council,2022-23,"$4,098,745","$5,622,559",,,
New South Wales,City of Lithgow Council,2023-24,"$6,012,779","$6,329,335",,,
New South Wales,City of Parramatta Council,2017-18,"$4,770,335","$9,306,619",,,
New South Wales,City of Parramatta Council,2018-19,"$4,830,837","$9,407,025",,,
New South Wales,City of Parramatta Council,2019-20,"$4,745,011","$9,307,280",,,
New South Wales,City of Parramatta Council,2020-21,"$4,834,353","$9,341,176",,,
New South Wales,City of Parramatta Council,2021-22,"$4,824,769","$9,695,462",,,
New South Wales,City of Parramatta Council,2022-23,"$7,486,031","$10,051,868",,,
New South Wales,City of Parramatta Council,2023-24,"$10,739,328","$10,923,978",,,
New South Wales,Clarence Valley Council,2017-18,"$5,263,163","$10,635,412",,,
New South Wales,Clarence Valley Council,2018-19,"$5,519,226","$10,874,292",,,
New South Wales,Clarence Valley Council,2019-20,"$5,553,006","$11,060,120",,,
New South Wales,Clarence Valley Council,2020-21,"$5,836,970","$11,142,370",,,
New South Wales,Clarence Valley Council,2021-22,"$5,681,313","$11,624,330",,,
New South Wales,Clarence Valley Council,2022-23,"$9,137,980","$12,273,349",,,
New South Wales,Clarence Valley Council,2023-24,"$13,119,211","$13,693,597",,,
New South Wales,Cobar Shire Council,2017-18,"$2,712,628","$5,484,881",,,
New South Wales,Cobar Shire Council,2018-19,"$2,846,353","$5,720,186",,,
New South Wales,Cobar Shire Council,2019-20,"$2,980,054","$5,942,616",,,
New South Wales,Cobar Shire Council,2020-21,"$3,139,932","$6,102,716",,,
New South Wales,Cobar Shire Council,2021-22,"$3,172,564","$6,509,054",,,
New South Wales,Cobar Shire Council,2022-23,"$5,129,645","$7,022,845",,,
New South Wales,Cobar Shire Council,2023-24,"$7,510,062","$7,965,351",,,
New South Wales,Coffs Harbour City Council,2017-18,"$3,588,942","$7,259,372",,,
