Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
South Australia,Corporation of the City of Port Augusta,2023-24,"$4,304,778","$4,518,588",,,
South Australia,Corporation of the City of Tea Tree Gully,2017-18,"$1,574,486","$3,140,183",,,
South Australia,Corporation of the City of Tea Tree Gully,2018-19,"$1,716,840","$3,231,613",,,
South Australia,Corporation of the City of Tea Tree Gully,2019-20,"$1,762,735","$3,265,897",,,
South Australia,Corporation of the City of Tea Tree Gully,2020-21,"$1,801,847","$3,297,133",,,
South Australia,Corporation of the City of Tea Tree Gully,2021-22,"$1,820,004","$3,463,413",,,
South Australia,Corporation of the City of Tea Tree Gully,2022-23,"$2,871,972","$3,777,618",,,
South Australia,Corporation of the City of Tea Tree Gully,2023-24,"$3,984,875","$4,182,353",,,
South Australia,Corporation of the City of Unley,2017-18,"$593,626","$1,186,184",,,
South Australia,Corporation of the City of Unley,2018-19,"$644,359","$1,200,599",,,
South Australia,Corporation of the City of Unley,2019-20,"$639,307","$1,216,658",,,
South Australia,Corporation of the City of Unley,2020-21,"$683,220","$1,363,509",,,
South Australia,Corporation of the City of Unley,2021-22,"$648,206","$1,282,422",,,
South Australia,Corporation of the City of Unley,2022-23,"$1,097,321","$1,385,471",,,
South Australia,Corporation of the City of Unley,2023-24,"$1,443,042","$1,515,121",,,
South Australia,Corporation of the City of Whyalla,2017-18,"$2,177,231","$4,287,042",,,
South Australia,Corporation of the City of Whyalla,2018-19,"$2,231,761","$4,417,849",,,
South Australia,Corporation of the City of Whyalla,2019-20,"$2,297,883","$4,497,700",,,
South Australia,Corporation of the City of Whyalla,2020-21,"$2,381,918","$4,538,168",,,
South Australia,Corporation of the City of Whyalla,2021-22,"$2,358,897","$4,753,750",,,
South Australia,Corporation of the City of Whyalla,2022-23,"$3,821,475","$5,187,741",,,
South Australia,Corporation of the City of Whyalla,2023-24,"$5,783,756","$6,110,171",,,
South Australia,Corporation of the Town of Walkerville,2017-18,"$117,269","$233,890",,,
South Australia,Corporation of the Town of Walkerville,2018-19,"$127,249","$245,018",,,
South Australia,Corporation of the Town of Walkerville,2019-20,"$135,538","$248,662",,,
South Australia,Corporation of the Town of Walkerville,2020-21,"$134,003","$401,246",,,
South Australia,Corporation of the Town of Walkerville,2021-22,"$141,290","$265,120",,,
South Australia,Corporation of the Town of Walkerville,2022-23,"$213,611","$286,658",,,
South Australia,Corporation of the Town of Walkerville,2023-24,"$303,552","$318,484",,,
South Australia,District Council of Ceduna,2017-18,"$1,273,263","$2,454,419",,,
South Australia,District Council of Ceduna,2018-19,"$1,299,231","$2,445,229",,,
South Australia,District Council of Ceduna,2019-20,"$1,253,780","$2,428,875",,,
South Australia,District Council of Ceduna,2020-21,"$1,320,243","$2,435,021",,,
South Australia,District Council of Ceduna,2021-22,"$1,274,683","$2,497,468",,,
South Australia,District Council of Ceduna,2022-23,"$2,021,831","$2,614,973",,,
South Australia,District Council of Ceduna,2023-24,"$2,824,059","$2,855,927",,,
South Australia,District Council of Cleve,2017-18,"$692,460","$1,445,292",,,
South Australia,District Council of Cleve,2018-19,"$778,334","$1,449,048",,,
South Australia,District Council of Cleve,2019-20,"$761,733","$1,453,943",,,
South Australia,District Council of Cleve,2020-21,"$804,587","$1,470,813",,,
South Australia,District Council of Cleve,2021-22,"$791,593","$1,524,531",,,
South Australia,District Council of Cleve,2022-23,"$1,247,612","$1,657,846",,,
South Australia,District Council of Cleve,2023-24,"$1,789,187","$1,891,000",,,
South Australia,District Council of Coober Pedy,2017-18,"$437,069","$853,206",,,
South Australia,District Council of Coober Pedy,2018-19,"$440,935","$846,427",,,
South Australia,District Council of Coober Pedy,2019-20,"$422,323","$858,800",,,
South Australia,District Council of Coober Pedy,2020-21,"$466,405","$866,858",,,
South Australia,District Council of Coober Pedy,2021-22,"$434,705","$892,667",,,
South Australia,District Council of Coober Pedy,2022-23,"$721,653","$978,646",,,
South Australia,District Council of Coober Pedy,2023-24,"$1,056,121","$1,117,914",,,
South Australia,District Council of Elliston,2017-18,"$725,840","$2,009,749",,,
South Australia,District Council of Elliston,2018-19,"$617,304","$1,594,663",,,
South Australia,District Council of Elliston,2019-20,"$609,581","$1,141,339",,,
South Australia,District Council of Elliston,2020-21,"$639,812","$1,155,694",,,
South Australia,District Council of Elliston,2021-22,"$635,447","$1,201,229",,,
South Australia,District Council of Elliston,2022-23,"$993,921","$1,307,243",,,
South Australia,District Council of Elliston,2023-24,"$1,410,243","$1,489,644",,,
South Australia,District Council of Franklin Harbour,2017-18,"$639,883","$1,232,838",,,
South Australia,District Council of Franklin Harbour,2018-19,"$651,984","$1,231,049",,,
South Australia,District Council of Franklin Harbour,2019-20,"$633,491","$1,233,364",,,
South Australia,District Council of Franklin Harbour,2020-21,"$671,582","$1,236,430",,,
South Australia,District Council of Franklin Harbour,2021-22,"$646,723","$1,268,128",,,
South Australia,District Council of Franklin Harbour,2022-23,"$1,022,547","$2,443,888",,,
South Australia,District Council of Franklin Harbour,2023-24,"$2,262,842","$2,277,921",,,
South Australia,District Council of Grant,2017-18,"$752,017","$1,463,161",,,
South Australia,District Council of Grant,2018-19,"$781,821","$1,843,549",,,
South Australia,District Council of Grant,2019-20,"$944,212","$1,764,348",,,
South Australia,District Council of Grant,2020-21,"$927,286","$1,999,146",,,
South Australia,District Council of Grant,2021-22,"$1,010,354","$2,160,772",,,
South Australia,District Council of Grant,2022-23,"$1,661,060","$2,202,961",,,
South Australia,District Council of Grant,2023-24,"$2,584,955","$2,763,449",,,
South Australia,District Council of Karoonda East Murray,2017-18,"$788,784","$1,522,728",,,
South Australia,District Council of Karoonda East Murray,2018-19,"$812,303","$1,523,849",,,
South Australia,District Council of Karoonda East Murray,2019-20,"$792,732","$1,527,155",,,
South Australia,District Council of Karoonda East Murray,2020-21,"$836,811","$1,544,318",,,
South Australia,District Council of Karoonda East Murray,2021-22,"$824,621","$1,598,610",,,
South Australia,District Council of Karoonda East Murray,2022-23,"$1,292,856","$1,739,581",,,
South Australia,District Council of Karoonda East Murray,2023-24,"$1,878,233","$1,901,663",,,
South Australia,District Council of Kimba,2017-18,"$666,778","$1,288,173",,,
South Australia,District Council of Kimba,2018-19,"$688,770","$1,288,200",,,
South Australia,District Council of Kimba,2019-20,"$670,471","$1,291,557",,,
South Australia,District Council of Kimba,2020-21,"$711,510","$1,306,102",,,
South Australia,District Council of Kimba,2021-22,"$695,256","$1,352,398",,,
South Australia,District Council of Kimba,2022-23,"$1,104,207","$1,471,235",,,
South Australia,District Council of Kimba,2023-24,"$1,589,442","$1,680,235",,,
South Australia,District Council of Lower Eyre Peninsula,2017-18,"$449,605","$877,283",,,
South Australia,District Council of Lower Eyre Peninsula,2018-19,"$489,384","$899,269",,,
South Australia,District Council of Lower Eyre Peninsula,2019-20,"$503,146","$1,695,264",,,
South Australia,District Council of Lower Eyre Peninsula,2020-21,"$516,517","$1,940,975",,,
South Australia,District Council of Lower Eyre Peninsula,2021-22,"$542,925","$3,004,878",,,
South Australia,District Council of Lower Eyre Peninsula,2022-23,"$863,451","$1,173,184",,,
South Australia,District Council of Lower Eyre Peninsula,2023-24,"$2,207,048","$2,236,028",,,
South Australia,District Council of Loxton Waikerie,2017-18,"$2,208,379","$4,253,824",,,
South Australia,District Council of Loxton Waikerie,2018-19,"$2,247,869","$4,244,165",,,
South Australia,District Council of Loxton Waikerie,2019-20,"$2,179,308","$4,248,043",,,
South Australia,District Council of Loxton Waikerie,2020-21,"$2,311,257","$4,292,968",,,
South Australia,District Council of Loxton Waikerie,2021-22,"$2,261,040","$4,436,777",,,
South Australia,District Council of Loxton Waikerie,2022-23,"$3,569,658","$4,831,910",,,
South Australia,District Council of Loxton Waikerie,2023-24,"$5,225,196","$5,525,744",,,
South Australia,District Council of Mount Barker,2017-18,"$626,017","$1,296,221",,,
South Australia,District Council of Mount Barker,2018-19,"$719,566","$1,386,138",,,
South Australia,District Council of Mount Barker,2019-20,"$798,935","$1,377,501",,,
South Australia,District Council of Mount Barker,2020-21,"$725,451","$1,421,288",,,
South Australia,District Council of Mount Barker,2021-22,"$874,873","$1,547,916",,,
South Australia,District Council of Mount Barker,2022-23,"$1,215,673","$1,828,683",,,
South Australia,District Council of Mount Barker,2023-24,"$1,997,842","$2,105,182",,,
South Australia,District Council of Mount Remarkable,2017-18,"$1,032,127","$1,989,496",,,
South Australia,District Council of Mount Remarkable,2018-19,"$1,053,624","$1,986,473",,,
South Australia,District Council of Mount Remarkable,2019-20,"$1,023,225","$1,991,816",,,
South Australia,District Council of Mount Remarkable,2020-21,"$1,088,253","$2,013,788",,,
South Australia,District Council of Mount Remarkable,2021-22,"$1,060,930","$2,065,975",,,
South Australia,District Council of Mount Remarkable,2022-23,"$1,660,322","$2,249,096",,,
South Australia,District Council of Mount Remarkable,2023-24,"$2,430,553","$2,482,044",,,
South Australia,District Council of Orroroo Carrieton,2017-18,"$624,704","$1,620,670",,,
South Australia,District Council of Orroroo Carrieton,2018-19,"$641,849","$1,704,427",,,
South Australia,District Council of Orroroo Carrieton,2019-20,"$624,991","$1,207,151",,,
South Australia,District Council of Orroroo Carrieton,2020-21,"$660,330","$1,220,591",,,
South Australia,District Council of Orroroo Carrieton,2021-22,"$649,892","$1,263,061",,,
South Australia,District Council of Orroroo Carrieton,2022-23,"$1,019,979","$1,374,681",,,
South Australia,District Council of Orroroo Carrieton,2023-24,"$1,486,213","$1,503,777",,,
South Australia,District Council of Peterborough,2017-18,"$803,358","$1,547,158",,,
South Australia,District Council of Peterborough,2018-19,"$815,496","$1,541,624",,,
South Australia,District Council of Peterborough,2019-20,"$788,058","$1,542,752",,,
South Australia,District Council of Peterborough,2020-21,"$838,995","$1,546,036",,,
South Australia,District Council of Peterborough,2021-22,"$802,452","$1,584,152",,,
South Australia,District Council of Peterborough,2022-23,"$1,278,380","$1,684,309",,,
South Australia,District Council of Peterborough,2023-24,"$1,818,949","$1,835,730",,,
South Australia,District Council of Robe,2017-18,"$69,309","$382,427",,,
South Australia,District Council of Robe,2018-19,"$80,983","$272,164",,,
South Australia,District Council of Robe,2019-20,"$82,457","$144,556",,,
South Australia,District Council of Robe,2020-21,"$87,571","$146,692",,,
South Australia,District Council of Robe,2021-22,"$85,022","$155,238",,,
South Australia,District Council of Robe,2022-23,"$142,011","$168,829",,,
South Australia,District Council of Robe,2023-24,"$182,259","$191,533",,,
South Australia,District Council of Streaky Bay,2017-18,"$984,181","$1,902,373",,,
South Australia,District Council of Streaky Bay,2018-19,"$1,018,808","$1,902,784",,,
South Australia,District Council of Streaky Bay,2019-20,"$991,947","$1,910,682",,,
South Australia,District Council of Streaky Bay,2020-21,"$1,057,102","$1,931,976",,,
South Australia,District Council of Streaky Bay,2021-22,"$1,025,624","$2,001,330",,,
South Australia,District Council of Streaky Bay,2022-23,"$1,647,561","$2,177,599",,,
South Australia,District Council of Streaky Bay,2023-24,"$2,351,034","$2,485,253",,,
South Australia,District Council of Tumby Bay,2017-18,"$405,486","$786,667",,,
South Australia,District Council of Tumby Bay,2018-19,"$428,322","$790,579",,,
South Australia,District Council of Tumby Bay,2019-20,"$421,092","$769,306",,,
South Australia,District Council of Tumby Bay,2020-21,"$415,876","$754,090",,,
South Australia,District Council of Tumby Bay,2021-22,"$416,094","$759,588",,,
South Australia,District Council of Tumby Bay,2022-23,"$603,090","$800,728",,,
South Australia,District Council of Tumby Bay,2023-24,"$799,137","$863,610",,,
South Australia,District Council of Yankalilla,2017-18,"$142,025","$279,293",,,
South Australia,District Council of Yankalilla,2018-19,"$158,045","$306,083",,,
South Australia,District Council of Yankalilla,2019-20,"$184,714","$328,058",,,
South Australia,District Council of Yankalilla,2020-21,"$180,433","$664,799",,,
South Australia,District Council of Yankalilla,2021-22,"$234,870","$386,204",,,
South Australia,District Council of Yankalilla,2022-23,"$273,696","$438,976",,,
South Australia,District Council of Yankalilla,2023-24,"$442,654","$476,994",,,
South Australia,Gerard Community Council Aboriginal Corporation,2023-24,"$85,446","$89,651",,,
South Australia,Gerard Reserve Council Inc,2017-18,"$32,838","$65,679",,,
South Australia,Gerard Reserve Council Inc,2018-19,"$35,572","$67,750",,,
South Australia,Gerard Reserve Council Inc,2019-20,"$36,740","$68,945",,,
South Australia,Gerard Reserve Council Inc,2020-21,"$37,820","$69,722",,,
South Australia,Gerard Reserve Council Inc,2021-22,"$38,070","$73,497",,,
South Australia,Gerard Reserve Council Inc,2022-23,"$60,759","$80,560",,,
South Australia,Kangaroo Island Council,2017-18,"$944,136","$1,997,093",,,
South Australia,Kangaroo Island Council,2018-19,"$1,060,930","$2,038,776",,,
South Australia,Kangaroo Island Council,2019-20,"$1,075,842","$2,073,643",,,
South Australia,Kangaroo Island Council,2020-21,"$1,124,184","$2,096,660",,,
South Australia,Kangaroo Island Council,2021-22,"$1,118,954","$3,429,374",,,
South Australia,Kangaroo Island Council,2022-23,"$1,985,436","$3,938,427",,,
South Australia,Kangaroo Island Council,2023-24,"$3,510,377","$3,622,433",,,
South Australia,Kingston District Council,2017-18,"$423,464","$781,594",,,
South Australia,Kingston District Council,2018-19,"$424,592","$788,361",,,
South Australia,Kingston District Council,2019-20,"$421,908","$770,033",,,
South Australia,Kingston District Council,2020-21,"$414,298","$726,135",,,
South Australia,Kingston District Council,2021-22,"$386,168","$860,741",,,
South Australia,Kingston District Council,2022-23,"$573,473","$658,055",,,
South Australia,Kingston District Council,2023-24,"$1,068,409","$1,114,901",,,
South Australia,Light Regional Council,2017-18,"$500,493","$757,725",,,
South Australia,Light Regional Council,2018-19,"$428,983","$822,712",,,
South Australia,Light Regional Council,2019-20,"$483,541","$1,602,006",,,
South Australia,Light Regional Council,2020-21,"$503,888","$1,568,989",,,
South Australia,Light Regional Council,2021-22,"$593,441","$1,174,401",,,
South Australia,Light Regional Council,2022-23,"$957,033","$2,154,470",,,
South Australia,Light Regional Council,2023-24,"$1,704,679","$1,837,020",,,
South Australia,Maralinga Tjarutja,2017-18,"$74,577","$149,170",,,
South Australia,Maralinga Tjarutja,2018-19,"$81,608","$153,943",,,
South Australia,Maralinga Tjarutja,2019-20,"$84,326","$153,995",,,
South Australia,Maralinga Tjarutja,2020-21,"$83,990","$155,803",,,
South Australia,Maralinga Tjarutja,2021-22,"$87,525","$164,298",,,
South Australia,Maralinga Tjarutja,2022-23,"$134,841","$179,836",,,
South Australia,Maralinga Tjarutja,2023-24,"$190,810","$200,260",,,
South Australia,Mid Murray Council,2017-18,"$2,253,951","$4,847,310",,,
South Australia,Mid Murray Council,2018-19,"$1,948,442","$4,350,926",,,
South Australia,Mid Murray Council,2019-20,"$2,063,040","$4,686,939",,,
South Australia,Mid Murray Council,2020-21,"$2,091,700","$3,980,137",,,
South Australia,Mid Murray Council,2021-22,"$2,147,857","$4,113,684",,,
South Australia,Mid Murray Council,2022-23,"$3,221,889","$4,477,447",,,
South Australia,Mid Murray Council,2023-24,"$4,842,561","$5,115,126",,,
South Australia,Municipal Council of Roxby Downs,2017-18,"$92,257","$194,739",,,
South Australia,Municipal Council of Roxby Downs,2018-19,"$107,414","$194,689",,,
South Australia,Municipal Council of Roxby Downs,2019-20,"$97,281","$207,522",,,
South Australia,Municipal Council of Roxby Downs,2020-21,"$135,190","$222,586",,,
South Australia,Municipal Council of Roxby Downs,2021-22,"$95,149","$293,175",,,
South Australia,Municipal Council of Roxby Downs,2022-23,"$345,757","$523,711",,,
South Australia,Municipal Council of Roxby Downs,2023-24,"$438,895","$460,071",,,
South Australia,Naracoorte Lucindale Council,2017-18,"$1,424,489","$2,984,844",,,
South Australia,Naracoorte Lucindale Council,2018-19,"$1,574,678","$3,194,265",,,
South Australia,Naracoorte Lucindale Council,2019-20,"$1,746,007","$3,845,838",,,
South Australia,Naracoorte Lucindale Council,2020-21,"$1,613,518","$3,529,581",,,
South Australia,Naracoorte Lucindale Council,2021-22,"$1,819,850","$3,308,528",,,
South Australia,Naracoorte Lucindale Council,2022-23,"$2,436,683","$3,516,187",,,
South Australia,Naracoorte Lucindale Council,2023-24,"$3,329,645","$3,641,304",,,
South Australia,Nipapanha Community Incorporated,2017-18,"$24,611","$49,228",,,
South Australia,Nipapanha Community Incorporated,2018-19,"$27,148","$50,821",,,
South Australia,Nipapanha Community Incorporated,2019-20,"$28,061","$51,758",,,
South Australia,Nipapanha Community Incorporated,2020-21,"$28,912","$52,375",,,
South Australia,Nipapanha Community Incorporated,2021-22,"$29,093","$55,244",,,
South Australia,Nipapanha Community Incorporated,2022-23,"$46,427","$60,418",,,
South Australia,Nipapanha Community Incorporated,2023-24,"$64,118","$67,305",,,
South Australia,Northern Areas Council,2017-18,"$918,550","$1,790,227",,,
South Australia,Northern Areas Council,2018-19,"$955,266","$1,790,744",,,
South Australia,Northern Areas Council,2019-20,"$930,964","$1,795,389",,,
South Australia,Northern Areas Council,2020-21,"$985,927","$1,816,102",,,
South Australia,Northern Areas Council,2021-22,"$967,542","$1,879,898",,,
South Australia,Northern Areas Council,2022-23,"$1,526,018","$2,045,871",,,
South Australia,Northern Areas Council,2023-24,"$2,208,862","$2,335,271",,,
South Australia,Outback Communities Authority,2017-18,"$739,229","$1,478,080",,,
South Australia,Outback Communities Authority,2018-19,"$756,100","$1,520,939",,,
South Australia,Outback Communities Authority,2019-20,"$778,881","$1,544,101",,,
South Australia,Outback Communities Authority,2020-21,"$799,632","$1,558,386",,,
South Australia,Outback Communities Authority,2021-22,"$805,492","$1,639,696",,,
South Australia,Outback Communities Authority,2022-23,"$1,286,586","$1,809,471",,,
South Australia,Outback Communities Authority,2023-24,"$1,916,134","$2,007,375",,,
South Australia,Port Pirie Regional Council,2017-18,"$2,250,257","$4,910,495",,,
South Australia,Port Pirie Regional Council,2018-19,"$2,353,207","$4,483,968",,,
South Australia,Port Pirie Regional Council,2019-20,"$2,263,070","$4,486,976",,,
South Australia,Port Pirie Regional Council,2020-21,"$2,422,001","$4,531,112",,,
South Australia,Port Pirie Regional Council,2021-22,"$2,337,076","$4,672,344",,,
South Australia,Port Pirie Regional Council,2022-23,"$3,744,274","$5,091,137",,,
South Australia,Port Pirie Regional Council,2023-24,"$5,506,066","$5,825,482",,,
South Australia,Regional Council of Goyder,2017-18,"$1,703,531","$3,286,542",,,
South Australia,Regional Council of Goyder,2018-19,"$1,747,713","$3,375,232",,,
South Australia,Regional Council of Goyder,2019-20,"$1,696,804","$3,288,334",,,
South Australia,Regional Council of Goyder,2020-21,"$1,802,365","$3,129,312",,,
South Australia,Regional Council of Goyder,2021-22,"$1,519,280","$3,111,517",,,
South Australia,Regional Council of Goyder,2022-23,"$2,678,314","$3,498,478",,,
South Australia,Regional Council of Goyder,2023-24,"$3,143,403","$3,429,859",,,
South Australia,Renmark Paringa Council,2017-18,"$1,408,468","$2,701,186",,,
South Australia,Renmark Paringa Council,2018-19,"$1,402,827","$3,665,812",,,
South Australia,Renmark Paringa Council,2019-20,"$1,355,877","$3,661,513",,,
South Australia,Renmark Paringa Council,2020-21,"$1,433,125","$3,678,858",,,
South Australia,Renmark Paringa Council,2021-22,"$1,410,565","$4,826,240",,,
South Australia,Renmark Paringa Council,2022-23,"$2,193,289","$3,048,473",,,
South Australia,Renmark Paringa Council,2023-24,"$3,190,479","$3,212,844",,,
South Australia,Rural City of Murray Bridge,2017-18,"$1,861,607","$3,871,660",,,
South Australia,Rural City of Murray Bridge,2018-19,"$2,027,964","$3,910,397",,,
South Australia,Rural City of Murray Bridge,2019-20,"$2,013,799","$3,915,747",,,
South Australia,Rural City of Murray Bridge,2020-21,"$2,088,169","$3,958,668",,,
South Australia,Rural City of Murray Bridge,2021-22,"$2,090,205","$4,089,987",,,
South Australia,Rural City of Murray Bridge,2022-23,"$3,231,920","$4,464,480",,,
South Australia,Rural City of Murray Bridge,2023-24,"$4,815,045","$5,070,029",,,
South Australia,Southern Mallee District Council,2017-18,"$777,763","$1,524,277",,,
South Australia,Southern Mallee District Council,2018-19,"$819,338","$1,744,233",,,
South Australia,Southern Mallee District Council,2019-20,"$799,455","$1,531,462",,,
South Australia,Southern Mallee District Council,2020-21,"$848,054","$1,548,688",,,
South Australia,Southern Mallee District Council,2021-22,"$828,342","$1,605,126",,,
South Australia,Southern Mallee District Council,2022-23,"$1,319,259","$1,745,239",,,
South Australia,Southern Mallee District Council,2023-24,"$1,883,126","$1,910,736",,,
South Australia,Tatiara District Council,2017-18,"$1,618,062","$3,502,239",,,
South Australia,Tatiara District Council,2018-19,"$1,706,011","$3,898,454",,,
South Australia,Tatiara District Council,2019-20,"$1,950,429","$3,690,613",,,
South Australia,Tatiara District Council,2020-21,"$1,749,859","$3,884,445",,,
South Australia,Tatiara District Council,2021-22,"$2,031,381","$3,916,292",,,
South Australia,Tatiara District Council,2022-23,"$2,684,331","$3,992,427",,,
South Australia,Tatiara District Council,2023-24,"$4,146,393","$4,500,450",,,
South Australia,The Barossa Council,2017-18,"$691,004","$1,091,918",,,
South Australia,The Barossa Council,2018-19,"$604,588","$1,213,512",,,
South Australia,The Barossa Council,2019-20,"$717,522","$1,317,629",,,
South Australia,The Barossa Council,2020-21,"$722,459","$1,415,703",,,
South Australia,The Barossa Council,2021-22,"$843,361","$1,904,570",,,
South Australia,The Barossa Council,2022-23,"$1,384,473","$1,917,827",,,
South Australia,The Barossa Council,2023-24,"$2,085,846","$2,257,694",,,
South Australia,The Corporation of the City of Adelaide,2017-18,"$362,016","$733,230",,,
South Australia,The Corporation of the City of Adelaide,2018-19,"$399,946","$758,425",,,
South Australia,The Corporation of the City of Adelaide,2019-20,"$414,992","$790,571",,,
South Australia,The Corporation of the City of Adelaide,2020-21,"$446,866","$1,402,437",,,
South Australia,The Corporation of the City of Adelaide,2021-22,"$433,804","$863,757",,,
South Australia,The Corporation of the City of Adelaide,2022-23,"$747,133","$930,354",,,
South Australia,The Corporation of the City of Adelaide,2023-24,"$977,592","$1,026,057",,,
South Australia,The Flinders Ranges Council,2017-18,"$767,614","$1,480,395",,,
South Australia,The Flinders Ranges Council,2018-19,"$786,676","$1,479,671",,,
South Australia,The Flinders Ranges Council,2019-20,"$765,685","$1,482,748",,,
South Australia,The Flinders Ranges Council,2020-21,"$810,730","$1,498,944",,,
South Australia,The Flinders Ranges Council,2021-22,"$795,041","$1,538,789",,,
South Australia,The Flinders Ranges Council,2022-23,"$1,235,281","$1,675,036",,,
South Australia,The Flinders Ranges Council,2023-24,"$1,802,408","$1,823,081",,,
South Australia,Town of Gawler,2017-18,"$759,069","$1,610,507",,,
South Australia,Town of Gawler,2018-19,"$855,212","$1,730,261",,,
South Australia,Town of Gawler,2019-20,"$954,908","$2,669,243",,,
South Australia,Town of Gawler,2020-21,"$965,315","$1,837,139",,,
South Australia,Town of Gawler,2021-22,"$994,933","$1,965,353",,,
South Australia,Town of Gawler,2022-23,"$1,593,761","$2,315,703",,,
South Australia,Town of Gawler,2023-24,"$2,584,573","$2,726,114",,,
South Australia,Wakefield Regional Council,2017-18,"$1,202,046","$2,440,201",,,
South Australia,Wakefield Regional Council,2018-19,"$1,300,568","$2,438,116",,,
South Australia,Wakefield Regional Council,2019-20,"$1,263,417","$2,443,333",,,
South Australia,Wakefield Regional Council,2020-21,"$1,342,375","$2,471,391",,,
South Australia,Wakefield Regional Council,2021-22,"$1,310,931","$2,556,400",,,
South Australia,Wakefield Regional Council,2022-23,"$2,078,642","$2,782,509",,,
South Australia,Wakefield Regional Council,2023-24,"$3,006,812","$3,046,649",,,
South Australia,Wattle Range Council,2017-18,"$1,315,450","$2,876,647",,,
South Australia,Wattle Range Council,2018-19,"$1,457,807","$3,379,166",,,
South Australia,Wattle Range Council,2019-20,"$1,785,520","$3,529,795",,,
South Australia,Wattle Range Council,2020-21,"$1,729,541","$3,378,551",,,
South Australia,Wattle Range Council,2021-22,"$1,869,727","$3,635,131",,,
South Australia,Wattle Range Council,2022-23,"$2,874,855","$3,962,358",,,
South Australia,Wattle Range Council,2023-24,"$3,842,145","$4,165,753",,,
South Australia,Wudinna District Council,2017-18,"$827,676","$1,600,637",,,
South Australia,Wudinna District Council,2018-19,"$857,847","$1,602,317",,,
South Australia,Wudinna District Council,2019-20,"$837,074","$1,606,797",,,
South Australia,Wudinna District Council,2020-21,"$885,955","$1,625,254",,,
South Australia,Wudinna District Council,2021-22,"$869,421","$1,706,468",,,
South Australia,Wudinna District Council,2022-23,"$1,409,086","$1,857,528",,,
South Australia,Wudinna District Council,2023-24,"$2,003,884","$2,118,374",,,
South Australia,Yalata Anangu Aboriginal Corporation,2017-18,"$103,808","$207,607",,,
South Australia,Yalata Anangu Aboriginal Corporation,2018-19,"$110,468","$213,986",,,
South Australia,Yalata Anangu Aboriginal Corporation,2019-20,"$114,003","$217,601",,,
South Australia,Yalata Anangu Aboriginal Corporation,2020-21,"$117,265","$219,915",,,
South Australia,Yalata Anangu Aboriginal Corporation,2021-22,"$118,059","$231,684",,,
South Australia,Yalata Anangu Aboriginal Corporation,2022-23,"$188,478","$254,487",,,
South Australia,Yalata Anangu Aboriginal Corporation,2023-24,"$269,788","$282,927",,,
South Australia,Yorke Peninsula Council,2017-18,"$1,143,746","$2,221,150",,,
South Australia,Yorke Peninsula Council,2018-19,"$1,215,867","$2,237,584",,,
South Australia,Yorke Peninsula Council,2019-20,"$1,201,897","$2,239,551",,,
South Australia,Yorke Peninsula Council,2020-21,"$1,252,207","$2,198,693",,,
South Australia,Yorke Peninsula Council,2021-22,"$1,177,465","$2,151,220",,,
South Australia,Yorke Peninsula Council,2022-23,"$1,744,807","$2,141,877",,,
South Australia,Yorke Peninsula Council,2023-24,"$2,150,401","$2,316,285",,,
Tasmania,Break O'day Council,2017-18,"$1,377,088","$2,830,624",,,
Tasmania,Break O'day Council,2018-19,"$1,462,513","$2,914,805",,,
Tasmania,Break O'day Council,2019-20,"$1,496,018","$2,901,982",,,
Tasmania,Break O'day Council,2020-21,"$1,486,557","$2,906,628",,,
Tasmania,Break O'day Council,2021-22,"$1,520,937","$3,060,654",,,
Tasmania,Break O'day Council,2022-23,"$2,373,988","$3,422,835",,,
Tasmania,Break O'day Council,2023-24,"$3,557,734","$3,650,731",,,
Tasmania,Brighton Council,2017-18,"$792,558","$1,673,383",,,
Tasmania,Brighton Council,2018-19,"$863,350","$1,843,199",,,
Tasmania,Brighton Council,2019-20,"$1,005,529","$1,920,297",,,
Tasmania,Brighton Council,2020-21,"$965,128","$1,993,997",,,
Tasmania,Brighton Council,2021-22,"$1,100,249","$2,066,668",,,
Tasmania,Brighton Council,2022-23,"$1,489,733","$2,412,878",,,
Tasmania,Brighton Council,2023-24,"$2,513,698","$2,555,520",,,
Tasmania,Burnie City Council,2017-18,"$1,142,546","$2,263,845",,,
Tasmania,Burnie City Council,2018-19,"$1,169,513","$2,308,186",,,
Tasmania,Burnie City Council,2019-20,"$1,172,483","$2,354,127",,,
Tasmania,Burnie City Council,2020-21,"$1,248,935","$2,468,057",,,
Tasmania,Burnie City Council,2021-22,"$1,305,115","$2,744,746",,,
Tasmania,Burnie City Council,2022-23,"$2,219,476","$2,971,149",,,
Tasmania,Burnie City Council,2023-24,"$3,334,843","$3,403,877",,,
Tasmania,Central Coast Council,2017-18,"$1,972,789","$3,881,293",,,
Tasmania,Central Coast Council,2018-19,"$2,004,357","$3,977,056",,,
Tasmania,Central Coast Council,2019-20,"$2,029,893","$4,111,755",,,
Tasmania,Central Coast Council,2020-21,"$2,199,839","$4,247,165",,,
Tasmania,Central Coast Council,2021-22,"$2,191,366","$4,609,851",,,
Tasmania,Central Coast Council,2022-23,"$3,728,558","$5,111,504",,,
Tasmania,Central Coast Council,2023-24,"$5,622,330","$5,734,287",,,
Tasmania,Central Highlands Council,2017-18,"$1,193,201","$2,304,133",,,
Tasmania,Central Highlands Council,2018-19,"$1,191,097","$2,404,714",,,
